image_filename,label_id,x,y,w,h,confidence
2008120625.jpg,9,0.288825,0.678865,0.200047,0.137158,0.998869
2008120625.jpg,9,0.304472,0.398691,0.192416,0.132822,0.997275
2008120625.jpg,9,0.293089,0.488983,0.193039,0.136743,0.995252
2008120625.jpg,9,0.296107,0.577933,0.203726,0.137187,0.983438
2008120625.jpg,9,0.293197,0.765971,0.211455,0.133155,0.974742
2008120625.jpg,9,0.218407,0.894151,0.186027,0.196798,0.924881
2008120625.jpg,9,0.365052,0.951818,0.174672,0.098113,0.695105
2008120625.jpg,9,0.754209,0.251591,0.126685,0.092241,0.649852
2008120625.jpg,9,0.395643,0.330683,0.150319,0.098965,0.624173
2008120625.jpg,9,0.356554,0.870791,0.154029,0.137703,0.417718
2008120625.jpg,5,0.940936,0.8275,0.1142,0.334758,0.927377
2008120625.jpg,5,0.21551,0.882556,0.199071,0.205066,0.865795
201309161.jpg,5,0.450051,0.552987,0.227997,0.452021,0.998573
201309161.jpg,5,0.700861,0.658605,0.108766,0.18661,0.986886
201009149.jpg,6,0.491878,0.664351,0.103019,0.121618,0.325665
200812083.jpg,2,0.330901,0.304679,0.05928,0.079845,0.516061
200812083.jpg,5,0.330901,0.304679,0.05928,0.079845,0.500683
200812083.jpg,5,0.837001,0.090479,0.108032,0.180749,0.274828
200812083.jpg,2,0.861469,0.597402,0.080776,0.113231,0.686798
20130702.jpg,5,0.569057,0.580815,0.607078,0.730811,0.270866
20130702.jpg,4,0.534047,0.652503,0.518938,0.677982,0.293421
20130702.jpg,3,0.55487,0.646537,0.548307,0.68068,0.583962
201611031.jpg,9,0.437684,0.558936,0.37324,0.31699,0.994978
201611031.jpg,9,0.871328,0.927765,0.256468,0.146075,0.496829
20090428.jpg,3,0.532747,0.523876,0.386519,0.379869,0.548754
201607226.jpg,6,0.140822,0.567741,0.229514,0.401854,0.808156
201607226.jpg,5,0.351753,0.723334,0.225798,0.227341,0.272168
201511246.jpg,6,0.441755,0.652815,0.171857,0.198704,0.533438
201511246.jpg,6,0.363052,0.626272,0.129284,0.138041,0.268224
201511246.jpg,3,0.596657,0.927789,0.163734,0.143277,0.685448
201401026.jpg,5,0.419652,0.794172,0.160936,0.229386,0.980628
201401026.jpg,5,0.544301,0.471681,0.067462,0.072456,0.973085
201401026.jpg,5,0.292248,0.550903,0.074495,0.095219,0.957418
201401026.jpg,5,0.361385,0.533475,0.070584,0.102634,0.863318
201506251.jpg,6,0.877993,0.812766,0.240214,0.470287,0.518365
201506251.jpg,5,0.494896,0.508033,0.698855,0.696454,0.849633
201506251.jpg,5,0.146042,0.869108,0.292673,0.279954,0.743175
201506251.jpg,3,0.101012,0.586003,0.188725,0.411442,0.636644
201802051.jpg,5,0.58486,0.168751,0.239715,0.252809,0.269243
201308275.jpg,9,0.321521,0.329271,0.192965,0.49882,0.281248
201308275.jpg,6,0.527702,0.466745,0.294033,0.418787,0.3624
201308275.jpg,5,0.524626,0.445191,0.271473,0.406422,0.897793
201308275.jpg,5,0.547992,0.143401,0.175929,0.283366,0.311717
201308275.jpg,3,0.485591,0.789718,0.386817,0.421065,0.590262
200809013.jpg,5,0.215557,0.353065,0.137854,0.215318,0.489615
200809013.jpg,5,0.402136,0.436116,0.201782,0.275534,0.297362
200809013.jpg,4,0.635906,0.362293,0.272584,0.370177,0.88752
2018081420.jpg,5,0.570948,0.402047,0.339209,0.52333,0.965287
2018081420.jpg,3,0.569283,0.374204,0.348695,0.455137,0.692343
201506047.jpg,9,0.352559,0.356237,0.296092,0.140222,0.999275
201506047.jpg,9,0.662208,0.240287,0.307713,0.1276,0.971338
201506047.jpg,9,0.372943,0.444283,0.31796,0.142637,0.87563
201506047.jpg,9,0.250404,0.241263,0.24662,0.114199,0.837808
201506047.jpg,9,0.375988,0.514706,0.339313,0.126851,0.789139
201506047.jpg,9,0.433816,0.208838,0.187025,0.073791,0.66406
2008112928.jpg,5,0.742609,0.605417,0.132123,0.408499,0.993833
2008112928.jpg,5,0.629432,0.600829,0.134383,0.318004,0.99072
2008112928.jpg,5,0.914634,0.351875,0.175444,0.254061,0.978368
2008112928.jpg,5,0.32241,0.544936,0.092015,0.140363,0.854347
2008112928.jpg,5,0.234328,0.624079,0.099492,0.165805,0.663064
2008112928.jpg,5,0.439713,0.439277,0.071211,0.112747,0.270286
2008112928.jpg,5,0.444629,0.627308,0.133497,0.208919,0.268859
2008112928.jpg,4,0.443204,0.509215,0.11219,0.09345,0.391213
2008112928.jpg,2,0.094238,0.749464,0.202815,0.520819,0.427031
201112282.jpg,6,0.32718,0.282788,0.046116,0.060552,0.544787
201112282.jpg,6,0.5117,0.591247,0.215837,0.449331,0.407568
200812101.jpg,6,0.346784,0.271966,0.314519,0.523566,0.987459
2010093020.jpg,8,0.77839,0.632329,0.261056,0.476414,0.672936
201101263.jpg,5,0.614374,0.453587,0.173659,0.361001,0.973729
201402142.jpg,5,0.418216,0.722858,0.072524,0.081853,0.798739
200811296.jpg,5,0.247921,0.517111,0.163228,0.384787,0.999632
200811296.jpg,5,0.779449,0.420359,0.179929,0.30599,0.996599
200811296.jpg,5,0.382305,0.835764,0.256915,0.327142,0.97415
201602021.jpg,5,0.833583,0.542565,0.128569,0.121327,0.317701
201009106.jpg,4,0.414627,0.502643,0.664921,0.726861,0.927674
